ui_mapname,864
com_sv_running,1080
playlistFilename,1369
playlistAggrFilename,1415
playListUpdateCheckMinutes,1580
dedicated_dhclient,1591
mapname,1673
g_gametype,1924
com_errorMessage,1943
g_hardcore,2043
onlinegame,2291
cl_motdString,3680
com_completionResolveCommand,5369
